1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
201114_x_at,5,4,4,2,3,1,6,1,3,3,2,7,1,1,7
201115_at,5,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201116_s_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201117_s_at,2,2,6,1,8,8,2,4,7,1,2,7,4,1,8
201118_at,5,4,4,2,3,1,7,1,3,3,1,3,1,1,7
201119_s_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
201120_s_at,8,4,4,2,2,1,6,1,3,3,1,3,1,1,7
201121_s_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201122_x_at,5,4,4,2,3,1,7,4,7,3,2,7,4,1,7
201123_s_at,1,1,2,8,6,3,1,5,8,7,4,1,5,5,5
201124_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201125_s_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201126_s_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,1
201127_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,8
201128_s_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
201129_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201130_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201131_s_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,5
201132_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201133_s_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201134_x_at,8,4,4,2,3,1,7,1,3,3,1,3,1,8,7
201135_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201136_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,5
201137_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201138_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201139_s_at,8,6,4,7,6,3,5,1,3,8,1,3,1,8,5
201140_s_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201141_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,5
201142_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201143_s_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,1
201144_s_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201145_at,2,2,6,1,8,8,2,4,7,1,2,7,4,6,8
201146_at,8,6,4,7,2,3,5,1,3,8,1,3,1,5,5
201147_s_at,8,6,2,7,6,3,5,1,3,8,1,3,1,5,5
201148_s_at,2,2,3,1,2,8,2,4,7,1,2,7,4,6,8
201149_s_at,8,4,4,2,3,1,7,1,3,3,1,3,1,8,1
201150_s_at,5,4,4,2,3,1,7,3,3,3,2,7,4,1,7
201151_s_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
201152_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201153_s_at,2,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201154_x_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201155_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201156_s_at,5,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201157_s_at,5,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201158_at,1,1,2,8,6,3,1,5,8,7,4,1,5,5,5
201159_s_at,8,6,2,7,6,3,5,1,3,8,1,3,1,5,5
201160_s_at,2,2,3,1,2,8,2,4,7,1,2,7,4,6,8
201161_s_at,2,2,3,1,5,7,2,4,7,1,2,7,4,6,8
201162_at,8,6,2,7,6,3,5,1,3,8,1,3,1,5,5
201163_s_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,1
201164_s_at,2,2,6,1,8,8,2,4,7,1,2,7,4,6,8
201165_s_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201166_s_at,8,6,2,7,6,3,5,1,3,8,1,3,1,5,5
201167_x_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201168_x_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201169_s_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201170_s_at,2,2,6,1,2,8,6,4,7,1,2,7,4,1,8
201171_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201172_x_at,8,6,2,7,6,3,5,1,8,8,1,3,1,5,5
201173_x_at,2,2,3,1,2,8,2,4,7,1,2,7,4,6,8
201174_s_at,2,2,3,1,2,8,2,4,7,1,2,7,4,6,8
201175_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201176_s_at,8,4,4,2,3,1,7,1,3,3,1,3,1,8,7
201177_s_at,8,6,4,7,2,3,5,1,8,8,1,3,1,5,5
201178_at,5,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201179_s_at,5,4,4,2,3,1,7,1,3,3,1,3,1,8,1
