1,2,3,4,5,6,7,8,9,10
200682_s_at,6,8,10,10,10,4,6,10,3,4
200683_s_at,4,5,10,10,10,9,2,10,3,7
200684_s_at,7,8,7,6,7,1,6,2,6,4
200685_at,3,7,1,2,10,10,8,10,1,4
200686_s_at,3,7,1,2,7,10,8,2,1,5
200687_s_at,7,8,7,6,5,1,6,8,6,4
200688_at,6,8,7,6,3,4,6,7,6,8
200689_x_at,3,7,1,2,7,10,8,2,1,5
200690_at,3,7,1,2,7,10,8,2,1,5
200691_s_at,6,8,7,10,10,4,6,10,3,4
200692_s_at,7,6,2,7,5,1,10,8,7,6
200693_at,7,1,2,8,5,1,1,8,8,6
200694_s_at,5,4,4,9,3,8,3,7,9,8
200695_at,3,7,1,2,10,10,8,10,1,4
200696_s_at,6,8,7,6,10,4,6,10,6,4
200697_at,3,6,1,7,7,10,10,2,7,5
200698_at,5,1,4,8,5,8,1,8,8,6
200699_at,6,4,10,9,3,4,3,7,9,8
200700_s_at,3,7,1,2,10,10,8,10,1,4
200701_at,3,7,1,2,7,10,8,2,1,5
200702_s_at,6,8,10,9,3,4,6,7,9,8
200703_at,5,4,4,9,3,8,3,7,9,8
200704_at,3,6,1,7,7,10,10,2,7,5
200705_s_at,7,6,1,7,7,1,10,2,7,5
200706_s_at,4,7,5,10,10,9,2,10,3,7
200707_at,7,1,4,8,5,1,1,8,8,6
200708_at,7,1,2,8,5,1,1,8,8,6
200709_at,3,7,5,2,10,10,8,10,1,4
200710_at,4,5,10,10,3,9,2,7,3,7
200711_s_at,7,1,2,8,5,1,1,8,8,6
200712_s_at,5,1,4,8,5,8,1,8,8,6
200713_s_at,6,8,7,6,10,4,6,10,6,4
200714_x_at,3,7,1,2,7,10,8,2,1,4
200715_x_at,3,7,1,2,7,10,8,2,1,5
200716_x_at,6,8,7,6,10,4,6,10,6,4
200717_x_at,5,4,4,9,3,8,3,7,9,8
200718_s_at,6,8,7,6,5,4,6,8,6,4
200719_at,7,6,2,7,7,1,10,2,7,5
200720_s_at,6,8,7,6,10,4,6,10,6,4
200721_s_at,4,5,5,10,10,9,2,10,3,7
200722_s_at,4,7,5,2,10,9,8,10,3,7
200723_s_at,4,5,5,10,10,9,2,10,3,7
200724_at,7,6,2,7,5,1,10,8,7,6
200725_x_at,7,1,2,8,5,1,1,8,8,6
200726_at,5,4,4,9,3,8,3,7,9,8
200727_s_at,6,4,10,9,3,4,3,7,9,8
200728_at,3,6,1,7,7,10,10,2,1,5
200729_s_at,7,6,2,7,5,1,10,8,7,6
200730_s_at,5,4,10,9,3,8,3,7,9,8
200731_s_at,3,8,7,6,7,10,6,2,6,4
200732_s_at,6,4,10,9,3,4,3,7,9,8
200733_s_at,5,1,4,8,5,8,1,8,8,6
200734_s_at,5,4,4,9,3,8,3,7,9,8
200735_x_at,7,8,7,6,5,1,6,8,6,6
200736_s_at,7,6,2,7,5,1,10,8,7,6
200737_at,6,8,10,6,10,4,6,10,6,4
200738_s_at,4,5,5,10,2,9,2,3,3,7
200739_s_at,4,5,5,10,10,9,2,10,3,7
200740_s_at,6,8,10,6,10,4,6,10,6,4
200741_s_at,7,8,7,6,5,1,6,8,6,4
200742_s_at,5,4,4,9,3,8,3,7,9,8
200743_s_at,3,7,1,2,7,10,8,2,1,5
200744_s_at,7,6,2,7,7,1,10,2,7,5
200745_s_at,5,1,4,8,5,8,1,8,8,6
200746_s_at,7,1,2,8,5,1,1,8,6,6
200747_s_at,6,4,7,9,3,4,3,7,9,8
200748_s_at,7,6,2,7,5,1,10,8,7,6
200749_at,6,4,10,9,3,4,3,7,9,8
200750_s_at,6,5,10,10,10,4,2,10,3,7
200751_s_at,6,8,7,6,5,4,6,8,6,4
200752_s_at,6,8,10,10,10,4,6,10,3,4
200753_x_at,5,1,4,8,5,8,1,8,8,6
200754_x_at,3,6,1,7,7,10,10,2,1,5
200755_s_at,7,8,7,6,7,1,6,2,6,4
200756_x_at,3,7,5,2,10,10,8,10,1,4
200757_s_at,5,1,4,8,5,8,1,8,8,6
200758_s_at,3,8,7,6,7,10,6,10,6,4
200759_x_at,6,8,7,6,10,4,6,10,6,4
200760_s_at,3,7,5,2,10,10,8,10,1,7
200761_s_at,4,5,5,5,2,9,2,3,5,7
200762_at,5,4,4,9,3,8,3,7,9,8
200763_s_at,3,7,1,2,7,10,8,2,1,5
200764_s_at,6,8,7,6,10,4,6,10,6,4
200765_x_at,6,8,7,6,3,4,6,7,6,4
200766_at,6,8,7,10,10,4,6,10,3,4
200767_s_at,7,6,2,7,5,1,10,8,7,6
200768_s_at,4,5,5,10,2,9,2,3,3,7
200769_s_at,5,4,4,9,3,8,3,7,9,8
200770_s_at,7,8,7,6,5,1,6,8,6,6
200771_at,6,8,7,6,10,4,6,10,6,4
200772_x_at,3,7,1,2,10,10,8,10,1,4
200773_x_at,7,6,2,7,5,1,10,8,7,6
200774_at,7,6,2,7,5,1,10,8,7,6
200775_s_at,5,4,4,9,3,8,1,7,8,8
200776_s_at,3,7,1,2,7,10,8,2,1,5
200777_s_at,3,7,1,2,7,10,8,2,1,5
200778_s_at,7,1,2,8,5,1,1,8,8,6
200779_at,4,5,5,10,2,9,2,3,3,7
200780_x_at,5,4,4,9,3,8,3,7,9,8
200781_s_at,6,5,5,10,10,4,2,10,3,7
200782_at,5,1,4,8,3,8,1,7,8,8
200783_s_at,7,6,2,7,5,1,10,8,7,6
200784_s_at,5,4,4,9,3,8,3,7,9,8
200785_s_at,7,1,2,8,5,1,1,8,7,6
200786_at,5,1,4,8,5,8,1,8,8,6
200787_s_at,3,7,1,2,7,10,8,2,1,5
200788_s_at,5,4,4,9,3,8,1,7,8,8
200789_at,5,4,4,9,3,8,3,7,9,8
200790_at,3,7,1,2,7,10,8,2,1,5
200791_s_at,3,7,1,2,7,10,8,2,1,5
200792_at,5,1,4,9,3,8,1,7,8,8
200793_s_at,7,6,2,7,7,1,10,2,7,5
200794_x_at,6,8,7,6,10,4,6,10,6,4
200795_at,3,7,1,2,7,10,8,2,1,5
