1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
210636_at,11,20,6,18,8,18,5,18,1,3,7,17,7,5,17,8,18,3,11,9
210637_at,5,20,6,18,8,18,5,18,1,14,2,17,7,5,8,8,19,3,12,4
210638_s_at,17,2,3,6,4,10,7,5,15,11,6,15,18,16,1,1,3,11,20,12
210639_s_at,20,1,8,16,19,1,6,2,12,17,4,2,1,12,3,6,8,19,7,11
210640_s_at,17,2,3,6,4,10,7,5,15,20,6,15,18,16,10,1,3,11,20,17
210641_at,11,15,6,11,20,8,19,3,3,3,5,13,7,5,17,8,12,2,11,13
210642_at,16,8,18,13,6,2,10,4,17,16,1,19,13,11,4,9,6,4,14,6
210643_at,13,12,3,12,3,5,18,1,5,20,11,7,16,17,10,10,7,11,8,17
210644_s_at,13,12,8,17,19,9,18,2,5,20,11,2,1,12,10,6,7,19,8,17
210645_s_at,4,5,18,4,6,17,11,14,16,15,14,19,11,19,4,9,20,6,14,5
210646_x_at,5,20,4,12,3,5,5,1,2,14,2,7,16,17,8,10,19,12,12,4
210647_x_at,11,15,6,11,20,8,19,3,3,3,5,13,7,5,17,8,12,3,11,13
210648_x_at,19,19,19,19,15,13,2,10,13,10,12,18,3,3,20,3,11,20,19,8
210649_s_at,19,19,1,19,15,13,2,10,13,10,12,18,3,3,13,3,11,20,10,8
210650_s_at,18,17,6,18,8,18,14,18,1,3,7,17,7,5,13,16,18,3,10,9
210651_s_at,20,1,15,16,4,1,6,2,12,17,18,15,1,12,10,1,8,11,18,17
210652_s_at,17,12,3,12,3,5,18,1,2,20,11,7,16,17,10,10,7,11,8,17
210653_s_at,18,17,6,18,8,18,14,18,1,3,7,17,7,5,13,16,18,3,11,9
210654_at,19,19,19,19,15,13,2,10,16,15,14,18,3,3,20,3,11,20,19,8
210655_s_at,11,15,11,11,20,8,19,3,3,7,5,13,9,18,17,8,12,2,9,13
210656_at,20,12,8,17,19,1,18,2,5,20,11,2,1,12,10,6,7,19,8,17
210657_s_at,18,20,1,18,8,18,5,18,1,14,2,17,7,14,13,16,19,12,12,9
210658_s_at,18,17,6,18,8,18,14,18,1,3,7,17,7,5,17,16,18,3,11,9
210659_at,4,8,18,6,6,10,10,4,17,16,6,15,18,16,4,9,3,6,20,6
210660_at,13,13,11,17,19,9,20,16,5,7,4,2,9,18,18,4,17,2,9,7
210661_at,19,19,19,19,15,13,2,10,16,15,14,18,11,19,20,3,11,20,19,8
210662_at,5,20,4,12,3,18,5,18,2,14,2,7,8,14,8,10,19,12,12,4
210663_s_at,4,5,18,4,6,17,11,14,17,15,1,19,11,19,4,9,20,18,14,5
210664_s_at,11,15,6,11,20,8,19,3,3,3,5,13,7,5,17,8,12,2,11,13
210665_at,13,13,11,17,19,9,20,16,5,7,4,2,9,18,18,4,17,2,9,7
210666_at,18,19,1,19,15,13,14,10,13,10,12,18,3,3,13,16,11,20,10,8
210667_s_at,4,5,19,4,6,17,11,14,16,15,14,19,11,19,20,3,20,6,19,5
210669_at,4,5,18,4,6,17,11,14,17,15,1,19,11,19,4,9,20,6,14,5
210670_at,5,20,4,12,3,5,5,1,2,14,2,7,16,17,8,10,19,12,12,4
210671_x_at,18,20,4,18,8,18,5,18,1,14,2,17,8,14,13,16,19,12,12,9
210672_s_at,4,5,18,4,6,17,11,14,17,16,1,19,11,19,4,9,20,6,14,6
210673_x_at,19,20,4,14,17,11,5,5,2,11,2,8,8,14,1,17,19,12,12,12
210674_s_at,17,8,3,6,4,10,10,2,15,20,18,15,18,16,16,1,3,11,18,17
210675_s_at,4,8,18,13,6,2,11,4,17,16,1,19,13,11,4,9,6,4,14,6
210676_x_at,10,1,15,16,12,19,6,13,12,17,16,10,14,13,14,18,8,17,18,11
210677_at,19,2,4,14,17,11,5,5,2,11,2,8,8,14,1,17,19,12,12,12
210678_s_at,11,15,11,11,20,8,19,3,3,14,5,13,16,17,8,8,12,2,9,4
210679_x_at,19,2,19,14,17,11,7,5,16,11,12,8,8,14,1,17,11,12,20,12
210680_s_at,11,15,11,11,20,8,19,3,3,7,5,13,9,18,17,8,12,2,9,13
210681_s_at,19,19,19,19,15,13,2,10,13,10,12,18,3,3,20,3,11,20,19,8
210682_at,5,12,4,12,3,5,18,1,2,20,11,7,16,17,10,10,7,11,8,4
210683_at,17,12,3,12,3,5,18,1,15,20,11,7,16,17,10,10,7,11,8,17
210684_s_at,13,12,11,12,3,5,18,1,5,20,11,7,16,17,10,10,7,11,8,17
210685_s_at,19,19,19,19,15,13,2,10,16,15,14,18,11,19,20,3,11,6,19,8
210686_x_at,17,8,3,6,4,10,10,4,15,16,6,15,18,16,16,1,6,4,20,6
210687_at,5,15,11,12,3,5,19,1,3,14,5,7,16,17,8,10,12,2,9,4
210688_s_at,19,2,4,14,17,11,7,5,2,11,2,8,8,14,1,17,19,12,12,12
210689_at,5,20,4,14,17,11,5,5,2,11,2,8,8,14,8,10,19,12,12,12
210690_at,17,2,4,14,17,11,7,5,2,11,6,8,8,14,1,17,3,12,20,12
210691_s_at,4,5,18,4,6,17,11,14,17,15,14,19,11,19,4,9,20,6,14,5
210692_s_at,4,2,18,4,6,17,7,14,16,11,6,19,11,19,4,9,3,6,20,6
210693_at,4,5,18,4,6,17,11,14,17,15,14,19,11,19,4,9,20,6,14,5
210694_s_at,19,20,4,14,17,11,5,5,13,11,2,8,8,14,1,17,19,12,12,12
210695_s_at,19,5,19,4,6,17,11,14,16,15,14,19,11,19,20,3,20,6,19,5
210697_at,13,13,8,17,19,9,20,16,5,7,4,2,9,18,18,4,17,19,9,7
210698_at,18,17,6,18,8,18,14,18,1,3,7,17,7,5,17,8,18,3,11,9
210699_at,11,15,6,18,8,8,19,3,3,14,2,17,7,5,8,8,12,3,11,4
210701_at,17,2,4,14,17,11,7,5,2,11,6,8,8,14,1,17,3,12,20,12
210702_s_at,5,20,4,14,17,11,5,18,2,14,2,8,8,14,8,16,19,12,12,12
210703_at,11,15,6,11,20,8,19,3,3,3,5,13,7,5,17,8,12,3,11,13
210704_at,11,15,11,11,20,8,19,3,3,7,5,13,9,18,17,8,12,2,9,13
210705_s_at,20,13,8,17,19,9,20,16,5,17,4,2,1,12,3,6,17,19,7,7
210706_s_at,5,15,11,12,3,5,19,1,3,14,5,7,16,17,8,10,12,2,9,4
210707_x_at,18,19,1,19,15,13,2,10,13,10,12,18,3,3,13,16,11,20,10,8
210708_x_at,5,20,4,14,17,11,5,1,2,14,2,8,8,14,8,10,19,12,12,4
210709_at,5,20,4,18,8,18,5,18,2,14,2,17,7,14,8,16,19,12,12,4
210710_at,11,17,6,18,8,18,14,18,1,3,7,17,7,5,17,8,18,3,11,9
210711_at,5,12,4,12,3,5,18,1,2,14,11,7,16,17,8,10,7,11,8,4
210712_at,19,19,1,14,17,11,2,10,13,10,12,18,8,14,13,17,11,20,10,8
210713_at,11,17,6,18,8,18,14,3,1,3,7,17,7,5,17,8,18,3,11,9
210714_at,17,8,3,6,4,10,10,5,15,16,6,15,18,16,1,1,3,11,20,6
210715_s_at,13,13,11,11,20,9,20,16,3,7,5,13,9,18,18,4,17,2,9,7
210716_s_at,4,2,19,4,6,17,7,5,16,11,6,8,11,19,1,17,3,6,20,12
210717_at,5,20,4,12,3,5,5,1,2,14,2,7,16,17,8,10,19,12,12,4
210718_s_at,13,12,8,17,19,5,18,2,5,20,11,2,1,12,10,6,7,11,8,17
210719_s_at,17,8,3,6,4,10,10,4,15,16,6,15,18,16,16,1,3,4,20,6
210720_s_at,5,20,4,18,8,18,5,18,2,14,2,17,7,14,8,16,19,12,12,4
210721_s_at,4,8,18,4,6,10,10,4,17,16,6,19,18,16,4,9,3,6,20,6
210722_at,17,12,3,6,4,10,18,5,15,20,6,15,18,16,10,1,3,11,8,17
210723_x_at,5,20,4,14,17,11,5,5,2,14,2,8,8,14,8,17,19,12,12,12
210724_at,13,12,11,12,3,5,18,1,5,7,11,7,16,17,18,4,7,2,9,7
210726_at,4,8,18,4,6,17,10,4,17,16,6,19,11,19,4,9,3,6,20,6
210727_at,19,19,1,19,15,13,2,10,13,10,12,18,3,3,13,3,11,20,10,8
210728_s_at,19,19,19,19,15,13,2,10,13,10,12,18,3,3,20,3,11,20,19,8
210729_at,5,12,4,12,3,5,18,1,2,14,11,7,16,17,8,10,7,12,8,4
210730_s_at,19,19,19,19,15,13,2,10,13,10,12,18,3,3,20,3,11,20,19,8
210731_s_at,17,12,3,6,4,10,18,2,15,20,11,15,18,16,10,1,7,11,8,17
210732_s_at,18,19,1,19,15,13,2,10,13,10,12,18,3,3,13,16,11,20,10,8
210733_at,5,20,4,12,3,5,5,1,2,14,2,7,16,17,8,10,19,2,12,4
210734_x_at,20,1,8,16,19,1,6,2,12,17,18,10,1,12,3,6,8,19,7,11
