1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
200652_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200653_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200654_at,5,3,3,3,5,5,1,2,5,1,3,1,5,2,4,5,4
200655_s_at,3,3,3,4,4,5,1,1,2,4,3,1,5,2,4,1,4
200656_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200657_at,2,2,5,2,3,1,2,1,3,5,5,2,2,1,2,1,3
200658_s_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200659_s_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200660_at,3,3,3,4,4,5,1,2,5,1,3,1,5,2,4,5,4
200661_at,5,1,1,2,5,4,4,1,3,5,3,2,2,5,2,1,3
200662_s_at,3,3,3,3,4,5,1,2,5,1,3,1,5,2,4,5,4
200663_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200664_s_at,2,1,1,2,3,4,4,3,3,5,3,2,2,5,2,4,3
200665_s_at,2,1,1,2,3,4,4,3,3,5,3,2,2,5,2,4,3
200666_s_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200667_at,2,3,3,2,3,5,1,1,3,5,3,2,5,2,4,1,4
200668_s_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200669_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200670_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200671_s_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200672_x_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200673_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200674_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200675_at,2,3,3,4,3,5,1,1,2,4,3,2,5,2,4,1,4
200676_s_at,5,1,1,3,5,4,4,2,5,1,3,4,5,5,4,5,4
200677_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200678_x_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200679_x_at,5,1,1,2,5,4,4,1,3,5,3,2,2,5,2,1,3
200680_x_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200681_at,2,1,1,2,3,4,4,3,3,5,3,2,2,5,2,4,3
200682_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200683_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200684_s_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200685_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200686_s_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200687_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200688_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200689_x_at,3,3,3,4,4,5,1,2,2,4,3,1,5,2,4,5,4
200690_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200691_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200692_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200693_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200694_s_at,2,1,1,2,3,4,4,3,3,5,3,2,2,5,2,4,3
200695_at,2,3,3,4,3,5,1,1,2,4,3,2,5,2,4,1,4
200696_s_at,2,3,3,4,3,5,1,1,2,4,3,2,5,2,4,1,4
200697_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200698_at,2,2,5,2,3,1,2,1,3,5,5,2,2,1,4,1,4
200699_at,3,3,3,3,4,5,1,2,5,1,3,1,5,2,4,5,4
